,Ticket,Date,Resultat_net,BNPA,PER,Dividende,Description,Profile_Téléphone_,Profile_Adresse_,Profile_Dirigeants_,Profile_Nombre_de_titres_,Profile_Valorisation_de_la_société_,Company_Name,Pays,Secteur
0,ABJC,2020,1533,14000.0,14.14,0,"SERVAIR ABIDJAN anciennement Abidjan Catering, est une société créée en 1968 opérant sur l'avitaillement, la fourniture de repas et le nettoyage des compagnies aériennes qui desservent l'aéroport d'Abidjan. Depuis 2012, SERVAIR ABIDJAN développe aussi des activités Hors Aérienne. En effet, afin de développer son portefeuille clients  et tirer profit de la croissance économique du pays, la société a commencé à développer la restauration collective (scolaire, entreprise), son service traiteur événementiel (Grain de Sel) et propose ses services pour le catering  et l’avitaillement de Bases Vies (FOXTROT).",+ 225 21 27 82 50 / + 225 21 27 87 39,Aéroport International Félix Houphouet Boigny d'Abidjan 07 BP 08 ABIDJAN 07  Côte d'Ivoire ABIDJAN,Claude DEORESTIS,10 912 000,20 733 MFCFA,SERVAIR ABIDJAN,Cote Ivoire,Distribution
1,ABJC,2021,-985,-9030.0,0.0,0,"SERVAIR ABIDJAN anciennement Abidjan Catering, est une société créée en 1968 opérant sur l'avitaillement, la fourniture de repas et le nettoyage des compagnies aériennes qui desservent l'aéroport d'Abidjan. Depuis 2012, SERVAIR ABIDJAN développe aussi des activités Hors Aérienne. En effet, afin de développer son portefeuille clients  et tirer profit de la croissance économique du pays, la société a commencé à développer la restauration collective (scolaire, entreprise), son service traiteur événementiel (Grain de Sel) et propose ses services pour le catering  et l’avitaillement de Bases Vies (FOXTROT).",+ 225 21 27 82 50 / + 225 21 27 87 39,Aéroport International Félix Houphouet Boigny d'Abidjan 07 BP 08 ABIDJAN 07  Côte d'Ivoire ABIDJAN,Claude DEORESTIS,10 912 000,20 733 MFCFA,SERVAIR ABIDJAN,Cote Ivoire,Distribution
2,ABJC,2022,953,8737.0,22.66,58,"SERVAIR ABIDJAN anciennement Abidjan Catering, est une société créée en 1968 opérant sur l'avitaillement, la fourniture de repas et le nettoyage des compagnies aériennes qui desservent l'aéroport d'Abidjan. Depuis 2012, SERVAIR ABIDJAN développe aussi des activités Hors Aérienne. En effet, afin de développer son portefeuille clients  et tirer profit de la croissance économique du pays, la société a commencé à développer la restauration collective (scolaire, entreprise), son service traiteur événementiel (Grain de Sel) et propose ses services pour le catering  et l’avitaillement de Bases Vies (FOXTROT).",+ 225 21 27 82 50 / + 225 21 27 87 39,Aéroport International Félix Houphouet Boigny d'Abidjan 07 BP 08 ABIDJAN 07  Côte d'Ivoire ABIDJAN,Claude DEORESTIS,10 912 000,20 733 MFCFA,SERVAIR ABIDJAN,Cote Ivoire,Distribution
3,ABJC,2023,1268,11626.0,17.03,83,"SERVAIR ABIDJAN anciennement Abidjan Catering, est une société créée en 1968 opérant sur l'avitaillement, la fourniture de repas et le nettoyage des compagnies aériennes qui desservent l'aéroport d'Abidjan. Depuis 2012, SERVAIR ABIDJAN développe aussi des activités Hors Aérienne. En effet, afin de développer son portefeuille clients  et tirer profit de la croissance économique du pays, la société a commencé à développer la restauration collective (scolaire, entreprise), son service traiteur événementiel (Grain de Sel) et propose ses services pour le catering  et l’avitaillement de Bases Vies (FOXTROT).",+ 225 21 27 82 50 / + 225 21 27 87 39,Aéroport International Félix Houphouet Boigny d'Abidjan 07 BP 08 ABIDJAN 07  Côte d'Ivoire ABIDJAN,Claude DEORESTIS,10 912 000,20 733 MFCFA,SERVAIR ABIDJAN,Cote Ivoire,Distribution
4,ABJC,2024,1335,12200.0,16.23,206,"SERVAIR ABIDJAN anciennement Abidjan Catering, est une société créée en 1968 opérant sur l'avitaillement, la fourniture de repas et le nettoyage des compagnies aériennes qui desservent l'aéroport d'Abidjan. Depuis 2012, SERVAIR ABIDJAN développe aussi des activités Hors Aérienne. En effet, afin de développer son portefeuille clients  et tirer profit de la croissance économique du pays, la société a commencé à développer la restauration collective (scolaire, entreprise), son service traiteur événementiel (Grain de Sel) et propose ses services pour le catering  et l’avitaillement de Bases Vies (FOXTROT).",+ 225 21 27 82 50 / + 225 21 27 87 39,Aéroport International Félix Houphouet Boigny d'Abidjan 07 BP 08 ABIDJAN 07  Côte d'Ivoire ABIDJAN,Claude DEORESTIS,10 912 000,20 733 MFCFA,SERVAIR ABIDJAN,Cote Ivoire,Distribution
5,BIC CI,2020,-3612,0.0,0.0,0,"La Banque internationale pour le commerce et l'industrie de la Côte d'Ivoire, abrégée en BICICI, est une filiale du groupe français BNP Paribas. Elle est une banque générale, de gros et de détail, qui offre aux entreprises et aux particuliers du secteur formel tout un ensemble de crédits à court et moyen terme L'activité s'organise essentiellement autour de 3 pôles : banque de détail ; banque de financement et d'investissement.  A fin 2017, le groupe gère 549 milliards FCFA d'encours de dépôts et 440 milliards FCFA d'encours de crédits.La commercialisation des produits et services est assurée au travers d'un réseau de 43 agences implantées en Côte d'Ivoire.",(+225) 20 20 16 05,BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DE CÔTE D'IVOIRE 01 ABIDJAN,Yves-Joel ESSE,16 666 670,133 500 MFCFA,Banque In. Commerce & Industrie,Cote Ivoire,Banque
6,BIC CI,2021,4672,280.32,36.21,50,"La Banque internationale pour le commerce et l'industrie de la Côte d'Ivoire, abrégée en BICICI, est une filiale du groupe français BNP Paribas. Elle est une banque générale, de gros et de détail, qui offre aux entreprises et aux particuliers du secteur formel tout un ensemble de crédits à court et moyen terme L'activité s'organise essentiellement autour de 3 pôles : banque de détail ; banque de financement et d'investissement.  A fin 2017, le groupe gère 549 milliards FCFA d'encours de dépôts et 440 milliards FCFA d'encours de crédits.La commercialisation des produits et services est assurée au travers d'un réseau de 43 agences implantées en Côte d'Ivoire.",(+225) 20 20 16 05,BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DE CÔTE D'IVOIRE 01 ABIDJAN,Yves-Joel ESSE,16 666 670,133 500 MFCFA,Banque In. Commerce & Industrie,Cote Ivoire,Banque
7,BIC CI,2022,9603,576.18,17.62,518,"La Banque internationale pour le commerce et l'industrie de la Côte d'Ivoire, abrégée en BICICI, est une filiale du groupe français BNP Paribas. Elle est une banque générale, de gros et de détail, qui offre aux entreprises et aux particuliers du secteur formel tout un ensemble de crédits à court et moyen terme L'activité s'organise essentiellement autour de 3 pôles : banque de détail ; banque de financement et d'investissement.  A fin 2017, le groupe gère 549 milliards FCFA d'encours de dépôts et 440 milliards FCFA d'encours de crédits.La commercialisation des produits et services est assurée au travers d'un réseau de 43 agences implantées en Côte d'Ivoire.",(+225) 20 20 16 05,BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DE CÔTE D'IVOIRE 01 ABIDJAN,Yves-Joel ESSE,16 666 670,133 500 MFCFA,Banque In. Commerce & Industrie,Cote Ivoire,Banque
8,BIC CI,2023,12391,743.46,13.65,402,"La Banque internationale pour le commerce et l'industrie de la Côte d'Ivoire, abrégée en BICICI, est une filiale du groupe français BNP Paribas. Elle est une banque générale, de gros et de détail, qui offre aux entreprises et aux particuliers du secteur formel tout un ensemble de crédits à court et moyen terme L'activité s'organise essentiellement autour de 3 pôles : banque de détail ; banque de financement et d'investissement.  A fin 2017, le groupe gère 549 milliards FCFA d'encours de dépôts et 440 milliards FCFA d'encours de crédits.La commercialisation des produits et services est assurée au travers d'un réseau de 43 agences implantées en Côte d'Ivoire.",(+225) 20 20 16 05,BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DE CÔTE D'IVOIRE 01 ABIDJAN,Yves-Joel ESSE,16 666 670,133 500 MFCFA,Banque In. Commerce & Industrie,Cote Ivoire,Banque
9,BIC CI,2024,16694,1002.0,10.13,541,"La Banque internationale pour le commerce et l'industrie de la Côte d'Ivoire, abrégée en BICICI, est une filiale du groupe français BNP Paribas. Elle est une banque générale, de gros et de détail, qui offre aux entreprises et aux particuliers du secteur formel tout un ensemble de crédits à court et moyen terme L'activité s'organise essentiellement autour de 3 pôles : banque de détail ; banque de financement et d'investissement.  A fin 2017, le groupe gère 549 milliards FCFA d'encours de dépôts et 440 milliards FCFA d'encours de crédits.La commercialisation des produits et services est assurée au travers d'un réseau de 43 agences implantées en Côte d'Ivoire.",(+225) 20 20 16 05,BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DE CÔTE D'IVOIRE 01 ABIDJAN,Yves-Joel ESSE,16 666 670,133 500 MFCFA,Banque In. Commerce & Industrie,Cote Ivoire,Banque
